Source,Target,DistanceMetric.WMD,SimilarityMetric.WMD_sim,DistanceMetric.SCM,SimilarityMetric.SCM_sim,EntropyMetric.MSI_I,EntropyMetric.MSI_X,EntropyMetric.Entropy_src,EntropyMetric.Entropy_tgt,EntropyMetric.JI,EntropyMetric.MI,EntropyMetric.Loss,EntropyMetric.Noise,SourceFile,TargetFile,Linked?
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/ReadDispatcher.java,1.2311628461213169,0.4481967785266832,0.9117348790168762,0.08826512,1.0,1.0,3.75,6.575860699720156,6.642752795997341,3.6831079037228154,2.8927527959973407,0.0668920962771846,RE-114.txt,ReadDispatcher.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SimpleTakeoffFlightPlan.java,1.122201492496311,0.4712087912178953,0.7563609331846237,0.24363907,2.321928094887362,1.2877123795494492,3.75,6.6546200832699895,6.704070798693733,3.700549284576256,2.954070798693733,0.0494507154237435,RE-114.txt,SimpleTakeoffFlightPlan.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/RemoteInfoFactory.java,1.0652174557340524,0.4842105112096121,0.7050546705722809,0.29494533,1.584962500721156,1.1699250014423124,3.75,5.207013584519738,5.337453154747078,3.619560429772661,1.5874531547470785,0.1304395702273399,RE-114.txt,RemoteInfoFactory.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IMonitoringDataHandler.java,1.2473261294269815,0.4449732448289461,0.9497525207698344,0.05024748,,,3.75,5.072368749488242,5.5549239313197205,3.2674448181685207,1.8049239313197205,0.4825551818314784,RE-114.txt,IMonitoringDataHandler.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IDrone.java,1.2114648207055294,0.4521889702414381,0.9003571942448616,0.099642806,1.584962500721156,1.1699250014423124,3.75,6.07548979125364,6.18540389876222,3.640085892491419,2.43540389876222,0.1099141075085805,RE-114.txt,IDrone.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/MonitoringDispatchThread.java,1.2198570090566434,0.4504794659836953,0.904789850115776,0.09521015,1.0,1.0,3.75,6.203741788941305,6.35655151768871,3.597190271252594,2.60655151768871,0.152809728747405,RE-114.txt,MonitoringDispatchThread.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/UAVMessageFactory.java,1.2185285217446071,0.4507492196735968,0.9060826823115348,0.09391732,1.5,1.1225562489182657,3.75,5.966943905756805,6.065880785060635,3.65106312069617,2.315880785060635,0.0989368793038298,RE-114.txt,UAVMessageFactory.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/AFEmergencyComponent.java,1.240877130889515,0.4462538290098264,0.9335580170154572,0.06644198,0.0,0.0,3.75,5.946106806428058,6.126021070118742,3.5700857363093172,2.3760210701187416,0.1799142636906836,RE-114.txt,AFEmergencyComponent.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SyncTask.java,1.2511394015417614,0.4442194913896134,0.9648393765091896,0.035160623,,,3.75,4.697845823084411,5.281727678869736,3.166118144214675,1.5317276788697356,0.5838818557853243,RE-114.txt,SyncTask.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SetVelocityCommand.java,1.2499128908586186,0.4444616518546089,0.9321983084082603,0.06780169,,,3.75,5.701185339075104,5.9966810255803535,3.4545043134947493,2.2466810255803535,0.2954956865052498,RE-114.txt,SetVelocityCommand.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/RemindsConnector.java,1.2060620991114832,0.4532963965079503,0.8627292364835739,0.13727076,1.9219280948873625,1.2148067842293933,3.75,6.5790188291430605,6.613354496397683,3.715664332745376,2.863354496397683,0.0343356672546226,RE-114.txt,RemindsConnector.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FlightRouteplanningService.java,1.1232073535217697,0.4709855579302217,0.830642968416214,0.16935703,1.0,1.0,3.75,5.656050740549802,5.799194983922931,3.606855756626871,2.04919498392293,0.1431442433731282,RE-114.txt,FlightRouteplanningService.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/WorkspaceInitializer.java,1.2120824246514266,0.4520627210161832,0.8886112943291664,0.111388706,1.9219280948873625,1.2148067842293933,3.75,6.471138094312703,6.531883198627727,3.689254895684976,2.7818831986277273,0.060745104315024,RE-114.txt,WorkspaceInitializer.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SoloDirector.java,1.1924468676786826,0.4561113953282614,0.8709432035684586,0.1290568,1.584962500721156,1.1699250014423124,3.75,6.413707128217502,6.491332720647876,3.6723744075696265,2.7413327206478764,0.0776255924303743,RE-114.txt,SoloDirector.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IncommingGroundstationConnectionServer.java,1.2542230845411295,0.4436118176846549,0.9674925841391088,0.032507416,,,3.75,5.9720756429192114,6.148004379452369,3.574071263466842,2.3980043794523693,0.1759287365331578,RE-114.txt,IncommingGroundstationConnectionServer.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/RemoteManager.java,1.2353814617769696,0.447350940812165,0.9401651918888092,0.059834808,1.9219280948873625,1.2148067842293933,3.75,5.938052801280019,5.994459082536291,3.693593718743728,2.2444590825362907,0.0564062812562715,RE-114.txt,RemoteManager.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IStopStrategy.java,1.2574956643953477,0.4429687355647002,0.9632355347275734,0.036764465,,,3.75,4.754887502163469,5.333241498888144,3.1716460032753258,1.5832414988881442,0.5783539967246751,RE-114.txt,IStopStrategy.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FlightManagerServiceInstance.java,1.0958821195464763,0.4771260705331977,0.7683118730783463,0.23168813,1.0,1.0,3.75,5.9880977970831095,6.076834853650141,3.6612629434329698,2.3268348536501406,0.0887370565670311,RE-114.txt,FlightManagerServiceInstance.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FlyingFieldDemoScript.java,1.205145404921191,0.4534848349538831,0.8888390958309174,0.111160904,1.584962500721156,1.1699250014423124,3.75,6.499009798677689,6.563909283886342,3.685100514791349,2.8139092838863418,0.0648994852086524,RE-114.txt,FlyingFieldDemoScript.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/LandingStrategy.java,1.2598122096474316,0.4425146460094649,0.96060648560524,0.039393514,,,3.75,5.232158891364568,5.673557262275185,3.3086016290893827,1.9235572622751853,0.4413983709106173,RE-114.txt,LandingStrategy.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneSetupServiceRemoteFacade.java,1.2427040425726803,0.445890309651766,0.9359784126281738,0.06402159,0.0,0.0,3.75,6.033809618345805,6.1501516698942815,3.633657948451525,2.4001516698942815,0.1163420515484761,RE-114.txt,DroneSetupServiceRemoteFacade.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/AbstractMissionTask.java,1.2443830263644051,0.4455567468890832,0.954787440598011,0.04521256,,,3.75,5.446923749657545,5.773007296543854,3.4239164531136907,2.023007296543854,0.3260835468863092,RE-114.txt,AbstractMissionTask.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SetGimbalTargetCommand.java,1.2498708449390692,0.4444699580197822,0.9616918228566648,0.038308177,,,3.75,5.429572187829688,5.780152029028712,3.399420158800976,2.030152029028712,0.3505798411990239,RE-114.txt,SetGimbalTargetCommand.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/Waypoint.java,1.2254553254416811,0.4493462477399012,0.9207882359623908,0.079211764,1.0,1.0,3.75,6.0416497990902425,6.192458917531036,3.599190881559206,2.4424589175310363,0.1508091184407938,RE-114.txt,Waypoint.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneSetupServiceInstance.java,1.2402078771692522,0.4463871456713247,0.9166683927178384,0.08333161,1.0,1.0,3.75,6.348852293858259,6.4097843421545795,3.68906795170368,2.6597843421545795,0.06093204829632,RE-114.txt,DroneSetupServiceInstance.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SimpleCheckerMessageHandler.java,1.241788005190808,0.4460725089457714,0.913786679506302,0.08621332,1.0,1.0,3.75,6.720313673470553,6.785586875954462,3.684726797516091,3.035586875954462,0.0652732024839091,RE-114.txt,SimpleCheckerMessageHandler.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FlightInfoCreator.java,1.083946761958134,0.4798587076477771,0.7797791361808777,0.22022086,1.0,1.0,3.75,5.261185372017968,5.388275278685373,3.622910093332595,1.6382752786853727,0.1270899066674049,RE-114.txt,FlightInfoCreator.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/MissionExecutionException.java,1.252483226940654,0.443954471242927,0.9429470486938952,0.05705295,,,3.75,4.833859001019612,5.376100511104248,3.2077584899153635,1.626100511104248,0.5422415100846356,RE-114.txt,MissionExecutionException.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SynchronizationState.java,1.253007057835778,0.4438512504974541,0.9606342501938344,0.03936575,,,3.75,5.277613436819116,5.706890595608518,3.320722841210599,1.9568905956085176,0.429277158789402,RE-114.txt,SynchronizationState.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IDroneSetupServiceInstance.java,1.249063912959338,0.4446294274866521,0.9499899744987488,0.050010026,,,3.75,5.425332310797736,5.658460319891251,3.516871990906484,1.908460319891251,0.233128009093515,RE-114.txt,IDroneSetupServiceInstance.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/MissionController.java,1.2387250824070557,0.4466828052530726,0.9079951345920564,0.092004865,0.0,0.0,3.75,6.385566390425387,6.481714801846296,3.653851588579091,2.731714801846296,0.0961484114209092,RE-114.txt,MissionController.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/WatchServiceRunner.java,1.233915013716502,0.4476446032458181,0.9080775007605552,0.0919225,0.0,0.0,3.75,6.71751024278573,6.786539053448719,3.6809711893370114,3.0365390534487187,0.0690288106629886,RE-114.txt,WatchServiceRunner.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IFlightManagerServiceInstance.java,1.1239645314050135,0.4708176550097542,0.8280257731676102,0.17197423,1.0,1.0,3.75,5.526050664656601,5.703728141568557,3.5723225230880447,1.9537281415685568,0.1776774769119553,RE-114.txt,IFlightManagerServiceInstance.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IRemoteManager.java,1.255002718638514,0.4434584454087764,0.9612716771662236,0.038728323,0.0,0.0,3.75,5.182585643543718,5.350527843262059,3.5820578002816585,1.6005278432620589,0.1679421997183405,RE-114.txt,IRemoteManager.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneSetupService.java,1.2443601404647306,0.4455612902628603,0.937594287097454,0.062405713,,,3.75,5.803623963109125,5.94466333386217,3.6089606292469543,2.19466333386217,0.1410393707530453,RE-114.txt,DroneSetupService.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/MonitoringConnectionTester.java,1.2463152451998232,0.4451734911815745,0.9517069682478904,0.04829303,0.0,0.0,3.75,5.877004941085564,6.065791316542113,3.56121362454345,2.3157913165421133,0.1887863754565497,RE-114.txt,MonitoringConnectionTester.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DispatchQueueManager.java,1.228805830386786,0.448670757392294,0.881650984287262,0.118349016,1.5,1.1225562489182657,3.75,7.0275266136932295,7.067101449855135,3.710425163838094,3.317101449855135,0.0395748361619059,RE-114.txt,DispatchQueueManager.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/AbstractDroneFleetFactory.java,1.242245560953895,0.445981482766134,0.9348824322223664,0.06511757,,,3.75,5.430747417785899,5.662990770791293,3.5177566469946058,1.9129907707912928,0.2322433530053933,RE-114.txt,AbstractDroneFleetFactory.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DronologyMonitoringManager.java,1.246349586133169,0.4451666856187706,0.9419862665235996,0.058013733,,,3.75,5.9132463334874465,6.09651680338525,3.5667295301021964,2.34651680338525,0.1832704698978036,RE-114.txt,DronologyMonitoringManager.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IManagedDroneStateChangeListener.java,1.2542330339038772,0.4436098597438267,0.9576650746166706,0.042334925,,,3.75,4.801969876934213,5.369811884931535,3.1821579920026775,1.6198118849315346,0.5678420079973217,RE-114.txt,IManagedDroneStateChangeListener.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-114.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneConnectorServiceInstance.java,1.238258045080219,0.4467760105668067,0.9168036431074142,0.08319636,0.9182958340544896,0.9182958340544896,3.75,6.911076925614215,6.974845451872742,3.686231473741472,3.224845451872742,0.063768526258527,RE-114.txt,DroneConnectorServiceInstance.java,0
